two_theta,y_obs,y_calc,y_bkg,y_diff
5,7500,7370.29,7318.68,129.714
5.01,6975,7385.32,7334.81,-410.316
5.02,7175,7400.11,7350.93,-225.108
5.03,8050,7414.68,7367.03,635.32
5.04,8125,7429.05,7383.11,695.946
5.05,7925,7443.25,7399.17,481.748
5.06,7975,7457.3,7415.21,517.7
5.07,8400,7471.22,7431.23,928.777
5.08,7900,7485.05,7447.24,414.954
5.09,7850,7498.8,7463.22,351.205
5.1,7950,7512.49,7479.19,437.506
5.11,7725,7526.17,7495.13,198.833
5.12,7550,7539.84,7511.06,10.164
5.13,7575,7553.52,7526.97,21.4792
5.14,7700,7567.24,7542.86,132.76
5.15,7925,7581.01,7558.73,343.99
5.16,7550,7594.84,7574.59,-44.8436
5.17,7875,7608.75,7590.42,266.247
5.18,7125,7622.75,7606.23,-497.747
5.19,7850,7636.83,7622.03,213.169
5.2,7825,7651.01,7637.81,173.989
5.21,7975,7665.29,7653.57,309.711
5.22,7575,7679.67,7669.31,-104.666
5.23,8325,7694.14,7685.03,630.861
5.24,7650,7708.71,7700.73,-58.707
5.25,7725,7723.37,7716.42,1.63448
5.26,7850,7738.11,7732.08,111.89
5.27,7550,7752.93,7747.73,-202.934
5.28,7975,7767.83,7763.36,207.167
5.29,8000,7782.8,7778.97,217.202
5.3,8000,7797.82,7794.56,202.175
5.31,8400,7812.9,7810.13,587.096
5.32,7550,7828.03,7825.69,-278.031
5.33,8375,7843.2,7841.22,531.802
5.34,7500,7858.4,7856.74,-358.399
5.35,8475,7873.63,7872.24,601.373
5.36,7425,7888.88,7887.72,-463.878
5.37,7825,7904.15,7903.18,-79.1467
5.38,7300,7919.43,7918.63,-619.428
5.39,8325,7934.72,7934.05,390.283
5.4,8350,7950.01,7949.46,399.99
5.41,9075,7965.3,7964.85,1109.7
5.42,8425,7980.6,7980.22,444.402
5.43,8025,7995.89,7995.57,29.1143
5.44,7900,8011.17,8010.9,-111.167
5.45,7600,8026.44,8026.21,-426.44
5.46,7575,8041.7,8041.51,-466.702
5.47,8100,8056.95,8056.79,43.0475
5.48,7350,8072.19,8072.05,-722.19
5.49,7625,8087.41,8087.29,-462.414
5.5,7850,8102.62,8102.51,-252.622
5.51,8300,8117.82,8117.72,182.184
5.52,8150,8132.99,8132.9,17.007
5.53,8350,8148.15,8148.07,201.846
5.54,8050,8163.3,8163.22,-113.298
5.55,7800,8178.43,8178.36,-378.425
5.56,9150,8193.53,8193.47,956.465
5.57,8200,8208.63,8208.56,-8.62718
5.58,8350,8223.7,8223.64,126.298
5.59,7775,8238.76,8238.7,-463.759
