two_theta,y_obs
5,7500
5.01,6975
5.02,7175
5.03,8050
5.04,8125
5.05,7925
5.06,7975
5.07,8400
5.08,7900
5.09,7850
5.1,7950
5.11,7725
5.12,7550
5.13,7575
5.14,7700
5.15,7925
5.16,7550
5.17,7875
5.18,7125
5.19,7850
5.2,7825
5.21,7975
5.22,7575
5.23,8325
5.24,7650
5.25,7725
5.26,7850
5.27,7550
5.28,7975
5.29,8000
5.3,8000
5.31,8400
5.32,7550
5.33,8375
5.34,7500
5.35,8475
5.36,7425
5.37,7825
5.38,7300
5.39,8325
5.4,8350
5.41,9075
5.42,8425
5.43,8025
5.44,7900
5.45,7600
5.46,7575
5.47,8100
5.48,7350
5.49,7625
5.5,7850
5.51,8300
5.52,8150
5.53,8350
5.54,8050
5.55,7800
5.56,9150
5.57,8200
5.58,8350
5.59,7775
5.6,8700
5.61,8000
5.62,9075
5.63,8750
5.64,8900
5.65,8075
5.66,8275
5.67,8925
5.68,8950
5.69,8775
5.7,8450
5.71,8675
5.72,8350
5.73,7850
5.74,8750
5.75,8975
5.76,8850
5.77,8525
5.78,8950
5.79,8150
5.8,9450
5.81,8400
5.82,8200
5.83,8700
5.84,8100
5.85,8125
5.86,9125
5.87,8400
5.88,9125
5.89,8375
5.9,8200
5.91,7925
5.92,7650
5.93,8725
5.94,9025
5.95,8650
5.96,8650
5.97,8450
5.98,8775
5.99,8875
6,8750
6.01,8675
6.02,9075
6.03,9400
6.04,8850
6.05,8550
6.06,9325
6.07,9300
6.08,8925
6.09,9200
6.1,9500
6.11,8475
6.12,9125
6.13,9000
6.14,9025
6.15,8950
6.16,8725
6.17,9525
6.18,8725
6.19,8675
6.2,10175
6.21,9225
6.22,9375
6.23,9975
6.24,9125
6.25,9550
6.26,8975
6.27,9250
6.28,9100
6.29,8775
6.3,9175
6.31,8875
6.32,9450
6.33,8750
6.34,9725
6.35,9550
6.36,9275
6.37,10250
6.38,9500
6.39,9300
6.4,8575
6.41,9200
6.42,9550
6.43,9375
6.44,9175
6.45,10050
6.46,9675
6.47,9450
6.48,9000
6.49,9275
6.5,9100
6.51,9225
6.52,8700
6.53,9025
6.54,9250
6.55,9825
6.56,9875
6.57,10025
6.58,9100
6.59,9350
6.6,9250
6.61,9625
6.62,9450
6.63,8975
6.64,9125
6.65,9925
6.66,9725
