two_theta,y_obs,y_calc,y_bkg,y_diff
5,7500,7341.21,7341.21,158.787
5.01,6975,7357.39,7357.39,-382.395
5.02,7175,7373.56,7373.56,-198.558
5.03,8050,7389.7,7389.7,660.298
5.04,8125,7405.83,7405.83,719.173
5.05,7925,7421.93,7421.93,503.067
5.06,7975,7438.02,7438.02,536.981
5.07,8400,7454.09,7454.09,945.913
5.08,7900,7470.14,7470.14,429.864
5.09,7850,7486.17,7486.17,363.835
5.1,7950,7502.18,7502.18,447.824
5.11,7725,7518.17,7518.17,206.832
5.12,7550,7534.14,7534.14,15.8598
5.13,7575,7550.09,7550.09,24.9062
5.14,7700,7566.03,7566.03,133.971
5.15,7925,7581.94,7581.94,343.056
5.16,7550,7597.84,7597.84,-47.8412
5.17,7875,7613.72,7613.72,261.281
5.18,7125,7629.58,7629.58,-504.578
5.19,7850,7645.42,7645.42,204.582
5.2,7825,7661.24,7661.24,163.76
5.21,7975,7677.04,7677.04,297.958
5.22,7575,7692.83,7692.83,-117.826
5.23,8325,7708.59,7708.59,616.409
5.24,7650,7724.34,7724.34,-74.3369
5.25,7725,7740.06,7740.06,-15.0642
5.26,7850,7755.77,7755.77,94.2273
5.27,7550,7771.46,7771.46,-221.462
5.28,7975,7787.13,7787.13,187.867
5.29,8000,7802.79,7802.79,197.214
5.3,8000,7818.42,7818.42,181.581
5.31,8400,7834.03,7834.03,565.966
5.32,7550,7849.63,7849.63,-299.63
5.33,8375,7865.21,7865.21,509.792
5.34,7500,7880.77,7880.77,-380.767
5.35,8475,7896.31,7896.31,578.693
5.36,7425,7911.83,7911.83,-486.829
5.37,7825,7927.33,7927.33,-102.332
5.38,7300,7942.82,7942.82,-642.816
5.39,8325,7958.28,7958.28,366.718
5.4,8350,7973.73,7973.73,376.271
5.41,9075,7989.16,7989.16,1085.84
5.42,8425,8004.57,8004.57,420.432
5.43,8025,8019.96,8019.96,5.03986
5.44,7900,8035.33,8035.33,-135.333
5.45,7600,8050.69,8050.69,-450.688
5.46,7575,8066.02,8066.02,-491.024
5.47,8100,8081.34,8081.34,18.6579
5.48,7350,8096.64,8096.64,-746.641
5.49,7625,8111.92,8111.92,-486.922
5.5,7850,8127.18,8127.18,-277.185
5.51,8300,8142.43,8142.43,157.571
5.52,8150,8157.65,8157.65,-7.65476
5.53,8350,8172.86,8172.86,177.138
5.54,8050,8188.05,8188.05,-138.051
5.55,7800,8203.22,8203.22,-403.222
5.56,9150,8218.37,8218.37,931.626
5.57,8200,8233.51,8233.51,-33.5082
5.58,8350,8248.62,8248.62,101.376
5.59,7775,8263.72,8263.72,-488.721
5.6,8700,8278.8,8278.8,421.199
5.61,8000,8293.86,8293.86,-293.861
5.62,9075,8308.9,8308.9,766.096
5.63,8750,8323.93,8323.93,426.071
5.64,8900,8338.93,8338.93,561.065
5.65,8075,8353.92,8353.92,-278.923
5.66,8275,8368.89,8368.89,-93.8929
5.67,8925,8383.84,8383.84,541.155
5.68,8950,8398.78,8398.78,551.222
5.69,8775,8413.69,8413.69,361.306
5.7,8450,8428.59,8428.59,21.409
5.71,8675,8443.47,8443.47,231.53
5.72,8350,8458.33,8458.33,-108.331
5.73,7850,8473.17,8473.17,-623.174
5.74,8750,8488,8488,262.001
5.75,8975,8502.81,8502.81,472.194
5.76,8850,8517.6,8517.6,332.405
5.77,8525,8532.37,8532.37,-7.36611
5.78,8950,8547.12,8547.12,402.881
5.79,8150,8561.85,8561.85,-411.854
5.8,9450,8576.57,8576.57,873.429
5.81,8400,8591.27,8591.27,-191.27
5.82,8200,8605.95,8605.95,-405.951
5.83,8700,8620.61,8620.61,79.3861
5.84,8100,8635.26,8635.26,-535.259
5.85,8125,8649.89,8649.89,-524.886
5.86,9125,8664.5,8664.5,460.504
5.87,8400,8679.09,8679.09,-279.087
5.88,9125,8693.66,8693.66,431.339
5.89,8375,8708.22,8708.22,-333.217
5.9,8200,8722.75,8722.75,-522.755
5.91,7925,8737.27,8737.27,-812.275
5.92,7650,8751.78,8751.78,-1101.78
5.93,8725,8766.26,8766.26,-41.2617
5.94,9025,8780.73,8780.73,244.271
5.95,8650,8795.18,8795.18,-145.178
5.96,8650,8809.61,8809.61,-159.609
5.97,8450,8824.02,8824.02,-374.022
5.98,8775,8838.42,8838.42,-63.4183
5.99,8875,8852.8,8852.8,22.2036
6,8750,8867.16,8867.16,-117.157
6.01,8675,8881.5,8881.5,-206.5
6.02,9075,8895.82,8895.82,179.175
6.03,9400,8910.13,8910.13,489.868
6.04,8850,8924.42,8924.42,-74.4221
6.05,8550,8938.69,8938.69,-388.694
6.06,9325,8952.95,8952.95,372.051
6.07,9300,8967.19,8967.19,332.814
6.08,8925,8981.41,8981.41,-56.4056
6.09,9200,8995.61,8995.61,204.392
6.1,9500,9009.79,9009.79,490.208
6.11,8475,9023.96,9023.96,-548.959
6.12,9125,9038.11,9038.11,86.8919
6.13,9000,9052.24,9052.24,-52.24
