two_theta,y_obs,y_calc,y_bkg,y_diff
3.875,0.29695,0.321671,0.321671,-0.0247209
3.88,0.306331,0.322333,0.322333,-0.0160016
3.885,0.265384,0.322994,0.322994,-0.05761
3.89,0.246686,0.323656,0.323656,-0.0769696
3.895,0.238279,0.324317,0.324317,-0.086037
3.9,0.366013,0.324977,0.324977,0.041036
3.905,0.389534,0.325637,0.325637,0.0638964
3.91,0.305856,0.326297,0.326297,-0.0204411
3.915,0.271975,0.326957,0.326957,-0.0549813
3.92,0.266083,0.327616,0.327616,-0.0615325
3.925,0.282862,0.328275,0.328275,-0.045413
3.93,0.240795,0.328933,0.328933,-0.0881383
3.935,0.157316,0.329591,0.329591,-0.172275
3.94,0.207126,0.330249,0.330249,-0.123124
3.945,0.235978,0.330907,0.330907,-0.0949284
3.95,0.303083,0.331564,0.331564,-0.028481
3.955,0.377689,0.332221,0.332221,0.0454679
3.96,0.39927,0.332877,0.332877,0.0663926
3.965,0.405552,0.333534,0.333534,0.0720184
3.97,0.347998,0.334189,0.334189,0.0138088
3.975,0.326385,0.334845,0.334845,-0.0084601
3.98,0.296928,0.3355,0.3355,-0.0385721
3.985,0.300808,0.336155,0.336155,-0.0353467
3.99,0.330647,0.336809,0.336809,-0.00616268
3.995,0.33901,0.337463,0.337463,0.00154696
4,0.326402,0.338117,0.338117,-0.0117149
4.005,0.294691,0.338771,0.338771,-0.0440796
4.01,0.35186,0.339424,0.339424,0.012436
4.015,0.381127,0.340077,0.340077,0.0410507
4.02,0.390393,0.340729,0.340729,0.0496642
4.025,0.39623,0.341381,0.341381,0.0548487
4.03,0.387107,0.342033,0.342033,0.0450743
4.035,0.430711,0.342685,0.342685,0.088026
4.04,0.397294,0.343336,0.343336,0.0539579
4.045,0.3823,0.343986,0.343986,0.0383136
4.05,0.362168,0.344637,0.344637,0.017531
4.055,0.34819,0.345287,0.345287,0.00290276
4.06,0.367526,0.345937,0.345937,0.0215895
4.065,0.386675,0.346586,0.346586,0.0400892
4.07,0.375383,0.347235,0.347235,0.0281474
4.075,0.375311,0.347884,0.347884,0.0274271
4.08,0.333302,0.348533,0.348533,-0.0152304
4.085,0.317789,0.349181,0.349181,-0.0313912
4.09,0.272285,0.349828,0.349828,-0.0775437
4.095,0.291228,0.350476,0.350476,-0.0592477
4.1,0.296889,0.351123,0.351123,-0.0542338
4.105,0.315133,0.35177,0.35177,-0.0366367
4.11,0.322653,0.352416,0.352416,-0.0297636
4.115,0.305675,0.353062,0.353062,-0.0473872
4.12,0.280131,0.353708,0.353708,-0.0735766
4.125,0.27832,0.354353,0.354353,-0.076033
4.13,0.338173,0.354999,0.354999,-0.0168259
4.135,0.368968,0.355643,0.355643,0.013325
4.14,0.36858,0.356288,0.356288,0.0122919
4.145,0.324629,0.356932,0.356932,-0.0323029
4.15,0.312294,0.357576,0.357576,-0.0452819
4.155,0.294544,0.358219,0.358219,-0.0636747
4.16,0.287132,0.358862,0.358862,-0.0717302
4.165,0.293962,0.359505,0.359505,-0.0655428
4.17,0.320607,0.360147,0.360147,-0.0395402
4.175,0.334013,0.360789,0.360789,-0.0267763
4.18,0.362185,0.361431,0.361431,0.000753414
4.185,0.371528,0.362073,0.362073,0.00945503
4.19,0.372576,0.362714,0.362714,0.00986271
4.195,0.360414,0.363355,0.363355,-0.00294077
4.2,0.34912,0.363995,0.363995,-0.014875
4.205,0.313291,0.364635,0.364635,-0.0513446
4.21,0.271013,0.365275,0.365275,-0.0942621
4.215,0.254634,0.365914,0.365914,-0.11128
4.22,0.27234,0.366553,0.366553,-0.0942138
4.225,0.305539,0.367192,0.367192,-0.0616533
4.23,0.302461,0.367831,0.367831,-0.0653694
4.235,0.286711,0.368469,0.368469,-0.0817575
4.24,0.280127,0.369107,0.369107,-0.0889793
4.245,0.3267,0.369744,0.369744,-0.0430445
4.25,0.316654,0.370381,0.370381,-0.0537271
4.255,0.282145,0.371018,0.371018,-0.088873
4.26,0.25002,0.371654,0.371654,-0.121634
4.265,0.262815,0.37229,0.37229,-0.109476
4.27,0.294211,0.372926,0.372926,-0.0787155
4.275,0.291608,0.373562,0.373562,-0.0819535
