two_theta,y_obs,y_calc,y_bkg,y_diff
3.875,0.29695,0.327666,0.327665,-0.0307162
3.88,0.306331,0.328314,0.328313,-0.0219831
3.885,0.265384,0.328962,0.328961,-0.0635778
3.89,0.246686,0.32961,0.329608,-0.0829236
3.895,0.238279,0.330257,0.330256,-0.0919773
3.9,0.366013,0.330904,0.330902,0.0351094
3.905,0.389534,0.33155,0.331549,0.0579835
3.91,0.305856,0.332196,0.332195,-0.0263403
3.915,0.271975,0.332842,0.332841,-0.0608669
3.92,0.266083,0.333488,0.333487,-0.0674044
3.925,0.282862,0.334133,0.334132,-0.0512712
3.93,0.240795,0.334778,0.334777,-0.0939829
3.935,0.157316,0.335422,0.335421,-0.178106
3.94,0.207126,0.336067,0.336066,-0.128941
3.945,0.235978,0.336711,0.336709,-0.100732
3.95,0.303083,0.337354,0.337353,-0.0342713
3.955,0.377689,0.337997,0.337996,0.0396913
3.96,0.39927,0.33864,0.338639,0.0606295
3.965,0.405552,0.339283,0.339282,0.0662689
3.97,0.347998,0.339925,0.339924,0.00807276
3.975,0.326385,0.340567,0.340566,-0.0141826
3.98,0.296928,0.341209,0.341208,-0.0442811
3.985,0.300808,0.34185,0.341849,-0.0410422
3.99,0.330647,0.342491,0.34249,-0.0118447
3.995,0.33901,0.343132,0.343131,-0.00412156
4,0.326402,0.343772,0.343771,-0.0173699
4.005,0.294691,0.344412,0.344411,-0.0497212
4.01,0.35186,0.345052,0.345051,0.00680786
4.015,0.381127,0.345691,0.34569,0.0354359
4.02,0.390393,0.34633,0.346329,0.0440629
4.025,0.39623,0.346969,0.346968,0.0492607
4.03,0.387107,0.347608,0.347606,0.0394997
4.035,0.430711,0.348246,0.348244,0.0824648
4.04,0.397294,0.348883,0.348882,0.0484101
4.045,0.3823,0.349521,0.34952,0.0327791
4.05,0.362168,0.350158,0.350157,0.0120099
4.055,0.34819,0.350795,0.350794,-0.00260505
4.06,0.367526,0.351431,0.35143,0.0160951
4.065,0.386675,0.352067,0.352066,0.034608
4.07,0.375383,0.352703,0.352702,0.0226795
4.075,0.375311,0.353339,0.353338,0.0219725
4.08,0.333302,0.353974,0.353973,-0.0206718
4.085,0.317789,0.354609,0.354608,-0.0368193
4.09,0.272285,0.355243,0.355242,-0.0829586
4.095,0.291228,0.355878,0.355876,-0.0646493
4.1,0.296889,0.356511,0.35651,-0.0596223
4.105,0.315133,0.357145,0.357144,-0.0420119
4.11,0.322653,0.357778,0.357777,-0.0351256
4.115,0.305675,0.358411,0.35841,-0.052736
4.12,0.280131,0.359044,0.359042,-0.0789123
4.125,0.27832,0.359676,0.359675,-0.0813555
4.13,0.338173,0.360308,0.360307,-0.0221353
4.135,0.368968,0.36094,0.360938,0.00802872
4.14,0.36858,0.361571,0.36157,0.00700875
4.145,0.324629,0.362202,0.362201,-0.037573
4.15,0.312294,0.362833,0.362831,-0.0505389
