two_theta,y_obs
3.875,0.29695
3.88,0.306331
3.885,0.265384
3.89,0.246686
3.895,0.238279
3.9,0.366013
3.905,0.389534
3.91,0.305856
3.915,0.271975
3.92,0.266083
3.925,0.282862
3.93,0.240795
3.935,0.157316
3.94,0.207126
3.945,0.235978
3.95,0.303083
3.955,0.377689
3.96,0.39927
3.965,0.405552
3.97,0.347998
3.975,0.326385
3.98,0.296928
3.985,0.300808
3.99,0.330647
3.995,0.33901
4,0.326402
4.005,0.294691
4.01,0.35186
4.015,0.381127
4.02,0.390393
4.025,0.39623
4.03,0.387107
4.035,0.430711
4.04,0.397294
4.045,0.3823
4.05,0.362168
4.055,0.34819
4.06,0.367526
4.065,0.386675
4.07,0.375383
4.075,0.375311
4.08,0.333302
4.085,0.317789
4.09,0.272285
4.095,0.291228
4.1,0.296889
4.105,0.315133
4.11,0.322653
4.115,0.305675
4.12,0.280131
4.125,0.27832
4.13,0.338173
4.135,0.368968
4.14,0.36858
4.145,0.324629
4.15,0.312294
4.155,0.294544
4.16,0.287132
4.165,0.293962
4.17,0.320607
4.175,0.334013
4.18,0.362185
4.185,0.371528
4.19,0.372576
4.195,0.360414
4.2,0.34912
4.205,0.313291
4.21,0.271013
4.215,0.254634
4.22,0.27234
4.225,0.305539
4.23,0.302461
4.235,0.286711
4.24,0.280127
4.245,0.3267
4.25,0.316654
4.255,0.282145
4.26,0.25002
4.265,0.262815
4.27,0.294211
4.275,0.291608
4.28,0.265026
4.285,0.283917
4.29,0.330003
4.295,0.358396
4.3,0.378193
4.305,0.354873
4.31,0.375163
4.315,0.37163
4.32,0.370861
4.325,0.371934
4.33,0.368089
4.335,0.386169
4.34,0.361883
4.345,0.362612
4.35,0.373148
4.355,0.366916
4.36,0.349854
4.365,0.359813
4.37,0.381759
4.375,0.376607
4.38,0.354653
4.385,0.346284
4.39,0.359126
4.395,0.366566
4.4,0.341953
4.405,0.37158
4.41,0.399133
4.415,0.397889
4.42,0.345026
4.425,0.303795
4.43,0.338959
4.435,0.362424
4.44,0.398976
4.445,0.366907
4.45,0.347922
4.455,0.316604
4.46,0.281852
4.465,0.291342
4.47,0.311827
4.475,0.364108
4.48,0.353341
4.485,0.329725
4.49,0.289591
4.495,0.286092
4.5,0.318257
4.505,0.351396
4.51,0.375228
4.515,0.415516
4.52,0.452129
4.525,0.472797
4.53,0.419754
4.535,0.36961
4.54,0.344482
4.545,0.328755
4.55,0.358035
4.555,0.368702
4.56,0.40308
4.565,0.385748
4.57,0.375488
4.575,0.370117
4.58,0.395774
4.585,0.417054
4.59,0.454093
4.595,0.473583
4.6,0.476249
4.605,0.475947
4.61,0.463966
4.615,0.422448
4.62,0.411481
4.625,0.396741
4.63,0.402734
4.635,0.376727
4.64,0.350796
4.645,0.348208
4.65,0.360086
4.655,0.344048
4.66,0.355861
4.665,0.385409
4.67,0.41392
4.675,0.447492
4.68,0.460035
4.685,0.443134
4.69,0.419694
4.695,0.412351
4.7,0.46002
4.705,0.453478
4.71,0.443954
4.715,0.42656
4.72,0.452736
4.725,0.463674
4.73,0.468646
4.735,0.472927
