two_theta,y_obs,y_calc,y_bkg,y_diff
3.875,0.29695,0.321494,0.321494,-0.0245442
3.88,0.306331,0.322157,0.322157,-0.0158254
3.885,0.265384,0.322819,0.322819,-0.0574343
3.89,0.246686,0.32348,0.32348,-0.0767943
3.895,0.238279,0.324142,0.324142,-0.0858622
3.9,0.366013,0.324803,0.324803,0.0412104
3.905,0.389534,0.325463,0.325463,0.0640702
3.91,0.305856,0.326124,0.326124,-0.0202677
3.915,0.271975,0.326784,0.326784,-0.0548084
3.92,0.266083,0.327443,0.327443,-0.0613601
3.925,0.282862,0.328103,0.328103,-0.0452409
3.93,0.240795,0.328762,0.328762,-0.0879668
3.935,0.157316,0.32942,0.32942,-0.172104
3.94,0.207126,0.330079,0.330079,-0.122953
3.945,0.235978,0.330737,0.330737,-0.0947583
3.95,0.303083,0.331394,0.331394,-0.0283113
3.955,0.377689,0.332052,0.332052,0.0456371
3.96,0.39927,0.332709,0.332709,0.0665614
3.965,0.405552,0.333365,0.333365,0.0721867
3.97,0.347998,0.334021,0.334021,0.0139766
3.975,0.326385,0.334677,0.334677,-0.0082927
3.98,0.296928,0.335333,0.335333,-0.0384052
3.985,0.300808,0.335988,0.335988,-0.0351802
3.99,0.330647,0.336643,0.336643,-0.00599666
3.995,0.33901,0.337298,0.337298,0.00171253
4,0.326402,0.337952,0.337952,-0.0115498
4.005,0.294691,0.338606,0.338606,-0.043915
4.01,0.35186,0.33926,0.33926,0.0126002
4.015,0.381127,0.339913,0.339913,0.0412144
4.02,0.390393,0.340566,0.340566,0.0498275
4.025,0.39623,0.341218,0.341218,0.0550115
4.03,0.387107,0.341871,0.341871,0.0452366
4.035,0.430711,0.342523,0.342523,0.0881879
4.04,0.397294,0.343174,0.343174,0.0541194
4.045,0.3823,0.343825,0.343825,0.0384746
4.05,0.362168,0.344476,0.344476,0.0176916
4.055,0.34819,0.345127,0.345127,0.00306286
4.06,0.367526,0.345777,0.345777,0.0217492
4.065,0.386675,0.346427,0.346427,0.0402483
4.07,0.375383,0.347077,0.347077,0.0283061
4.075,0.375311,0.347726,0.347726,0.0275854
4.08,0.333302,0.348375,0.348375,-0.0150726
4.085,0.317789,0.349023,0.349023,-0.0312338
4.09,0.272285,0.349671,0.349671,-0.0773868
4.095,0.291228,0.350319,0.350319,-0.0590912
4.1,0.296889,0.350967,0.350967,-0.0540778
4.105,0.315133,0.351614,0.351614,-0.0364811
4.11,0.322653,0.352261,0.352261,-0.0296084
4.115,0.305675,0.352908,0.352908,-0.0472325
4.12,0.280131,0.353554,0.353554,-0.0734223
4.125,0.27832,0.3542,0.3542,-0.0758792
4.13,0.338173,0.354845,0.354845,-0.0166726
4.135,0.368968,0.35549,0.35549,0.0134779
4.14,0.36858,0.356135,0.356135,0.0124444
4.145,0.324629,0.35678,0.35678,-0.0321509
4.15,0.312294,0.357424,0.357424,-0.0451303
4.155,0.294544,0.358068,0.358068,-0.0635235
4.16,0.287132,0.358711,0.358711,-0.0715795
4.165,0.293962,0.359355,0.359355,-0.0653925
4.17,0.320607,0.359998,0.359998,-0.0393904
4.175,0.334013,0.36064,0.36064,-0.026627
4.18,0.362185,0.361282,0.361282,0.000902319
4.185,0.371528,0.361924,0.361924,0.00960349
4.19,0.372576,0.362566,0.362566,0.0100107
4.195,0.360414,0.363207,0.363207,-0.0027932
4.2,0.34912,0.363848,0.363848,-0.0147278
4.205,0.313291,0.364488,0.364488,-0.0511979
4.21,0.271013,0.365129,0.365129,-0.0941158
4.215,0.254634,0.365768,0.365768,-0.111134
4.22,0.27234,0.366408,0.366408,-0.0940684
4.225,0.305539,0.367047,0.367047,-0.0615083
4.23,0.302461,0.367686,0.367686,-0.0652249
4.235,0.286711,0.368325,0.368325,-0.0816134
4.24,0.280127,0.368963,0.368963,-0.0888356
4.245,0.3267,0.369601,0.369601,-0.0429013
4.25,0.316654,0.370238,0.370238,-0.0535844
4.255,0.282145,0.370876,0.370876,-0.0887307
4.26,0.25002,0.371512,0.371512,-0.121492
4.265,0.262815,0.372149,0.372149,-0.109334
4.27,0.294211,0.372785,0.372785,-0.0785745
4.275,0.291608,0.373421,0.373421,-0.081813
4.28,0.265026,0.374057,0.374057,-0.109031
4.285,0.283917,0.374692,0.374692,-0.0907746
4.29,0.330003,0.375327,0.375327,-0.0453238
4.295,0.358396,0.375961,0.375961,-0.0175653
4.3,0.378193,0.376596,0.376596,0.0015976
4.305,0.354873,0.37723,0.37723,-0.0223566
4.31,0.375163,0.377863,0.377863,-0.00270007
4.315,0.37163,0.378496,0.378496,-0.00686631
4.32,0.370861,0.379129,0.379129,-0.00826818
4.325,0.371934,0.379762,0.379762,-0.00782833
4.33,0.368089,0.380394,0.380394,-0.0123053
4.335,0.386169,0.381026,0.381026,0.00514325
4.34,0.361883,0.381658,0.381658,-0.0197746
